simulation_id,random_seed,n_agents,exposed_to_pollutant,exposed_to_pollutant_share,sim_duration,initially_infected,lowest_immunity,highest_immunity,mask_beta_penalty,mask_discipline_worst,mask_discipline_best,beta,e1,e2,t1,t2,pollutant_immunity_reduction,agent_class,scenario_name,infected_30d,exposed_30d,recovered_30d,infected_60d,exposed_60d,recovered_60d,infected_90d,exposed_90d,recovered_90d,infected_120d,exposed_120d,recovered_120d,infected_150d,exposed_150d,recovered_150d,infected_180d,exposed_180d,recovered_180d,infected_210d,exposed_210d,recovered_210d,infected_240d,exposed_240d,recovered_240d,infected_270d,exposed_270d,recovered_270d,infected_300d,exposed_300d,recovered_300d,infected_330d,exposed_330d,recovered_330d,infected_360d,exposed_360d,recovered_360d,max_infected,max_exposed,max_recovered,total_infected,total_exposed,total_recovered
c6854fd,3258,10000,2458,0.2458,365,8,0.2,0.6,0.5,0.0,0.75,0.01,5,10,14,21,0.2,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,25,27,10,72,84,43,144,158,99,235,263,178,355,376,294,474,487,398,575,592,510,684,700,621,795,823,729,935,958,857,1110,1157,995,1306,1335,1196,123,61,1225,1328,1355,1225
6989b3c,3266,10000,2458,0.2458,365,8,0.2,0.9,0.25,0.0,0.75,0.25,5,10,14,21,0.1,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,804,1313,107,3178,3796,1705,5517,6042,4211,7130,7364,6317,7989,8156,7510,8635,8771,8281,9123,9235,8873,9559,9635,9318,9859,9908,9691,10000,9992,9939,10000,9992,10000,10000,9992,10000,1519,681,10000,10000,9992,10000
e049cb1,3270,10000,2458,0.2458,365,8,0.2,0.6,0.25,0.0,0.75,0.25,5,10,14,21,0.1,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,1052,1693,134,4205,5038,2247,7363,7912,5602,9095,9348,8251,9856,9926,9494,10000,9992,9964,10000,9992,10000,10000,9992,10000,10000,9992,10000,10000,9992,10000,10000,9992,10000,10000,9992,10000,2018,888,10000,10000,9992,10000
ab5cf05,3261,10000,2458,0.2458,365,10,0.3,0.6,0.25,0.0,0.75,0.01,5,10,14,21,0.2,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,69,88,19,229,274,125,459,519,317,740,813,580,1061,1152,868,1446,1518,1237,1761,1840,1571,2047,2115,1901,2390,2462,2178,2771,2851,2536,3167,3280,2921,3662,3795,3372,294,151,3448,3734,3871,3448
9a4f410,3260,10000,2458,0.2458,365,10,0.3,0.9,0.25,0.0,0.75,0.01,5,10,14,21,0.3,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,42,44,13,139,172,72,292,313,209,420,433,353,493,494,457,543,547,511,585,586,564,619,620,603,658,657,634,718,725,676,804,831,749,928,958,857,96,47,873,949,971,873
4baab1d,3267,10000,2458,0.2458,365,8,0.2,0.6,0.25,0.0,0.75,0.17,5,10,14,21,0.2,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,805,1314,110,3324,4076,1702,5899,6375,4522,7637,7957,6671,8661,8838,8114,9496,9663,8988,9977,9991,9766,10000,9992,10000,10000,9992,10000,10000,9992,10000,10000,9992,10000,10000,9992,10000,1732,771,10000,10000,9992,10000
3854945,3285,10000,2458,0.2458,365,6,0.2,0.9,0.25,0.0,0.75,0.09,5,10,14,21,0.1,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,382,635,36,1878,2416,893,3905,4395,2827,5780,6153,4751,7099,7365,6392,8101,8338,7553,8938,9102,8493,9551,9652,9225,9875,9910,9730,9979,9987,9934,9997,9991,9995,9997,9991,9997,1279,589,9997,9997,9991,9997
c87eb02,3247,10000,2458,0.2458,365,6,0.2,0.9,0.25,0.0,0.75,0.17,5,10,14,21,0.1,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,499,825,58,2221,2754,1076,4377,4947,3138,6413,6816,5283,7984,8326,7085,9338,9526,8602,9800,9853,9626,9977,9991,9892,10000,9994,9999,10000,9994,10000,10000,9994,10000,10000,9994,10000,1309,584,10000,10000,9994,10000
97511de,3264,10000,2458,0.2458,365,10,0.3,0.9,0.25,0.0,0.75,0.25,5,10,14,21,0.2,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,1128,1722,149,3906,4749,2187,7138,7618,5341,8611,8788,7892,9285,9399,8909,9714,9813,9480,9972,9981,9876,10000,9990,9997,10000,9990,10000,10000,9990,10000,10000,9990,10000,10000,9990,10000,1998,862,10000,10000,9990,10000
4a5451f,3256,10000,2458,0.2458,365,10,0.2,0.6,0.25,0.0,0.75,0.09,5,10,14,21,0.3,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,707,1204,70,3413,4229,1644,6859,7591,4816,9201,9531,8022,9973,9988,9702,10000,9990,10000,10000,9990,10000,10000,9990,10000,10000,9990,10000,10000,9990,10000,10000,9990,10000,10000,9990,10000,2076,904,10000,10000,9990,10000
735ae58,3288,10000,2458,0.2458,365,10,0.3,0.6,0.25,0.0,0.75,0.17,5,10,14,21,0.3,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,943,1537,110,3792,4628,2027,7072,7759,5208,9017,9310,8135,9906,9958,9511,10000,9990,9989,10000,9990,10000,10000,9990,10000,10000,9990,10000,10000,9990,10000,10000,9990,10000,10000,9990,10000,1983,885,10000,10000,9990,10000
d61b37b,3287,10000,2458,0.2458,365,4,0.1,0.9,0.5,0.0,0.75,0.17,5,10,14,21,0.1,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,335,591,43,1507,1858,789,3135,3576,2117,4957,5400,3846,6526,6893,5670,7882,8188,7129,8999,9181,8375,9615,9715,9312,9927,9958,9769,10000,9996,9978,10000,9996,10000,10000,9996,10000,1164,553,10000,10000,9996,10000
bc58b52,3263,10000,2458,0.2458,365,8,0.3,0.9,0.25,0.0,0.75,0.25,5,10,14,21,0.2,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,921,1522,107,3923,4817,2015,7331,7987,5477,9276,9517,8396,9915,9946,9625,10000,9992,9976,10000,9992,10000,10000,9992,10000,10000,9992,10000,10000,9992,10000,10000,9992,10000,10000,9992,10000,2109,957,10000,10000,9992,10000
02f7658,3262,10000,2458,0.2458,365,8,0.3,0.75,0.25,0.0,0.75,0.17,5,10,14,21,0.3,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,824,1351,104,3659,4563,1823,7347,8088,5224,9199,9360,8484,9686,9767,9450,9959,9989,9824,10000,9992,9999,10000,9992,10000,10000,9992,10000,10000,9992,10000,10000,9992,10000,10000,9992,10000,2226,987,10000,10000,9992,10000
82c7785,3250,10000,2458,0.2458,365,10,0.3,0.75,0.5,0.0,0.75,0.09,5,10,14,21,0.2,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,628,1066,70,2961,3641,1443,5726,6237,4159,7599,7997,6530,8958,9117,8269,9559,9642,9232,9876,9922,9700,9984,9983,9956,10000,9990,9997,10000,9990,10000,10000,9990,10000,10000,9990,10000,1688,758,10000,10000,9990,10000
e3ebb31,3248,10000,2458,0.2458,365,8,0.1,0.75,0.25,0.0,0.75,0.09,5,10,14,21,0.1,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,436,767,44,2195,2801,1036,4389,4817,3195,6097,6460,5101,7444,7705,6677,8436,8660,7885,9246,9355,8830,9643,9721,9427,9894,9926,9777,10000,9992,9949,10000,9992,10000,10000,9992,10000,1384,635,10000,10000,9992,10000
c90b24d,3243,10000,2458,0.2458,365,6,0.2,0.6,0.5,0.0,0.75,0.17,5,10,14,21,0.1,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,507,875,61,2550,3168,1201,4852,5279,3574,6353,6620,5542,7373,7584,6807,8167,8359,7722,8929,9070,8486,9458,9551,9145,9802,9860,9609,9992,9994,9898,10000,9994,10000,10000,9994,10000,1472,628,10000,10000,9994,10000
6e0a67b,3251,10000,2458,0.2458,365,4,0.1,0.6,0.25,0.0,0.75,0.01,5,10,14,21,0.3,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,28,36,9,93,117,49,183,209,137,307,333,228,464,511,360,659,703,553,851,888,741,1020,1045,923,1166,1223,1076,1373,1427,1251,1632,1717,1462,1989,2092,1775,224,108,1836,2050,2150,1836
96da796,3269,10000,2458,0.2458,365,6,0.1,0.75,0.5,0.0,0.75,0.25,5,10,14,21,0.1,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,689,1073,87,2832,3580,1394,5865,6536,4130,7830,8136,6901,8818,8956,8321,9330,9418,9052,9732,9821,9510,9997,9994,9868,10000,9994,10000,10000,9994,10000,10000,9994,10000,10000,9994,10000,1787,788,10000,10000,9994,10000
caee009,3259,10000,2458,0.2458,365,4,0.3,0.9,0.25,0.0,0.75,0.17,5,10,14,21,0.1,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,369,627,39,1796,2286,842,4142,4778,2667,6536,6994,5205,8026,8277,7279,8762,8867,8409,9186,9294,8943,9575,9635,9361,9832,9879,9697,9991,9996,9914,10000,9996,10000,10000,9996,10000,1520,654,10000,10000,9996,10000
0c2f65d,3282,10000,2458,0.2458,365,6,0.1,0.75,0.5,0.0,0.75,0.09,5,10,14,21,0.1,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,372,636,41,1615,1987,846,3203,3666,2273,5065,5477,3994,6750,7132,5761,8244,8567,7367,9284,9422,8760,9672,9708,9493,9880,9910,9758,9998,9994,9947,10000,9994,10000,10000,9994,10000,1126,492,10000,10000,9994,10000
9c5901a,3255,10000,2458,0.2458,365,6,0.1,0.6,0.5,0.0,0.75,0.25,5,10,14,21,0.3,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,762,1206,76,2734,3268,1533,4759,5247,3614,6849,7413,5602,8764,9098,7749,9768,9880,9299,10000,9994,9938,10000,9994,10000,10000,9994,10000,10000,9994,10000,10000,9994,10000,10000,9994,10000,1291,578,10000,10000,9994,10000
e875f96,3244,10000,2458,0.2458,365,6,0.1,0.9,0.25,0.0,0.75,0.17,5,10,14,21,0.1,SEIRNeighborsFSMExtended,SEIR Neighbors Scenario: Project Practice,466,801,62,2125,2667,1081,4243,4703,3042,6088,6519,5027,7786,8181,6801,9109,9285,8437,9721,9806,9388,9959,9990,9854,10000,9994,10000,10000,9994,10000,10000,9994,10000,10000,9994,10000,1258,556,10000,10000,9994,10000
